Timeslot,Activated_POS(MW),Activated_NEG(MW)
00:00 - 00:15,12.036,9.848
"00:15 - 00:30			",10.794,5.474
00:30 - 00:45,46.033,4.167
00:45 - 01:00,3.348,8.624
01:00 - 01:15,17.292,11.887
01:15 - 01:30,32.064,4.031
01:30 - 01:45,7.448,7.449
01:45 - 02:00,3.55,10.181
02:00 - 02:15,4.214,10.125
02:15 - 02:30,4.155,8.595
02:30 - 02:45,3.125,7.204
"02:45 - 03:00	",3.717,9.799
"03:00 - 03:15				",4.786,8.951
"03:15 - 03:30				",1.882,5.566
"03:30 - 03:45				",0.872,6.95
"03:45 - 04:00				",2.302,7.026
"04:00 - 04:15				",1.28,5.86
"04:15 - 04:30				",2.567,4.905
"04:30 - 04:45				",2.825,6.636
"04:45 - 05:00				",1.402,7.039
"05:00 - 05:15				",4.515,11.479
"05:15 - 05:30			",3.574,7.934
"05:30 - 05:45				",1.773,4.81
"05:45 - 06:00				",1.6,10.801
"06:00 - 06:15				",12.581,8.98
"06:15 - 06:30				",2.939,6.665
"06:30 - 06:45				",3.398,8.73
"06:45 - 07:00			",4.399,7.241
"07:00 - 07:15				",4.418,7.723
"07:15 - 07:30				",2.299,8.155
"07:30 - 07:45				",3.123,8.736
"07:45 - 08:00				",7.264,4.476
"08:00 - 08:15				",6.414,7.946
"08:15 - 08:30				",2.411,7.353
"08:30 - 08:45				",8.595,19.549
"08:45 - 09:00				",4.822,10.055
"09:00 - 09:15				",6.837,21.619
"09:15 - 09:30			",5.493,26.96
"09:30 - 09:45				",3.243,56.2
"09:45 - 10:00				",3.013,21.759
"10:00 - 10:15				",32.69,7.137
"10:15 - 10:30				",3.125,10.177
"10:30 - 10:45			",2.058,32.382
"10:45 - 11:00				",3.856,22.598
"11:00 - 11:15				",1.946,23.801
"11:15 - 11:30			",3.136,22.653
"11:30 - 11:45			",3.24,17.822
"11:45 - 12:00				",3.456,16.922
"12:00 - 12:15			",4.355,31.363
"12:15 - 12:30				",8.546,9.655
"12:30 - 12:45				",3.881,5.548
"12:45 - 13:00			",1.836,10.527
"13:00 - 13:15				",3.165,11.748
"13:15 - 13:30				",1.914,15.739
"13:30 - 13:45				",2.085,9.495
"13:45 - 14:00				",1.159,12.22
"14:00 - 14:15				",2.06,6.82
"14:15 - 14:30				",6.1,5.544
"14:30 - 14:45				",6.605,53.789
"14:45 - 15:00				",4.729,8.967
"15:00 - 15:15				",4.094,9.088
"15:15 - 15:30				",1.607,39.308
"15:30 - 15:45				",1.28,88.614
"15:45 - 16:00				",1.693,10.023
"16:00 - 16:15				",4.317,7.421
"16:15 - 16:30				",4.921,12.354
"16:30 - 16:45				",16.779,9.11
"16:45 - 17:00				",15.356,15.622
"17:00 - 17:15				",13.908,10.819
"17:15 - 17:30				",54.649,76.756
"17:30 - 17:45				",258.875,9.28
"17:45 - 18:00				",101.512,14.676
"18:00 - 18:15				",13.235,136.895
"18:15 - 18:30			",20.997,123.207
"18:30 - 18:45				",38.037,15.456
"18:45 - 19:00				",13.088,13.377
"19:00 - 19:15				",6.267,17.538
"19:15 - 19:30		",6.696,17.566
"19:30 - 19:45				",58.704,8.896
"19:45 - 20:00				",35.042,11.342
"20:00 - 20:15				",21.178,10.017
"20:15 - 20:30				",2.467,12.617
"20:30 - 20:45				",47.458,12.101
"20:45 - 21:00				",171.746,10.231
"21:00 - 21:15				",65,8.723
"21:15 - 21:30				",13.096,9.256
"21:30 - 21:45				",2.775,12.659
"21:45 - 22:00				",10.147,8.468
"22:00 - 22:15				",6.755,9.774
"22:15 - 22:30				",4.373,14.385
"22:30 - 22:45				",5.764,11.035
"22:45 - 23:00				",2.431,15.35
"23:00 - 23:15				",2.74,10.279
"23:15 - 23:30				",3.401,13.962
23:30 - 23:45,6.739,5.697
23:45 - 24:00,10.427,8.03
