Timeslot,Price(€/MWh),,
00:00 - 00:15,104.13,,104.13
"00:15 - 00:30			",97.54,,97.54
00:30 - 00:45,128.77,,128.77
00:45 - 01:00,84.21,,84.21
01:00 - 01:15,132.69,,132.69
01:15 - 01:30,145.67,,145.67
01:30 - 01:45,123.79,,123.79
01:45 - 02:00,80.07,,80.07
02:00 - 02:15,90.55,,90.55
02:15 - 02:30,102.3,,102.3
02:30 - 02:45,108.28,,108.28
"02:45 - 03:00	",106.62,,106.62
"03:00 - 03:15				",124.76,,124.76
"03:15 - 03:30				",134.38,,134.38
"03:30 - 03:45				",162.66,,162.66
"03:45 - 04:00				",140.84,,140.84
"04:00 - 04:15				",93.53,,93.53
"04:15 - 04:30				",94.22,,94.22
"04:30 - 04:45				",90.78,,90.78
"04:45 - 05:00				",102.43,,102.43
"05:00 - 05:15				",89.16,,89.16
"05:15 - 05:30			",96.24,,96.24
"05:30 - 05:45				",77.06,,77.06
"05:45 - 06:00				",72.61,,72.61
"06:00 - 06:15				",80.26,,80.26
"06:15 - 06:30				",97.17,,97.17
"06:30 - 06:45				",73.04,,73.04
"06:45 - 07:00			",53.2,,53.2
"07:00 - 07:15				",89.54,,89.54
"07:15 - 07:30				",66.68,,66.68
"07:30 - 07:45				",17,,17
"07:45 - 08:00				",84.11,,84.11
"08:00 - 08:15				",41.5,,41.5
"08:15 - 08:30				",89.33,,89.33
"08:30 - 08:45				",100.47,,100.47
"08:45 - 09:00				",51.73,,51.73
"09:00 - 09:15				",114.99,,114.99
"09:15 - 09:30			",77.57,,77.57
"09:30 - 09:45				",9.83,,9.83
"09:45 - 10:00				",-18.61,,-18.61
"10:00 - 10:15				",11.22,,11.22
"10:15 - 10:30				",-10.25,,-10.25
"10:30 - 10:45			",-18.64,,-18.64
"10:45 - 11:00				",-16.19,,-16.19
"11:00 - 11:15				",7.01,,7.01
"11:15 - 11:30			",-5,,-5
"11:30 - 11:45			",-5.48,,-5.48
"11:45 - 12:00				",-8.04,,-8.04
"12:00 - 12:15			",-10.68,,-10.68
"12:15 - 12:30				",-11.59,,-11.59
"12:30 - 12:45				",-28.69,,-28.69
"12:45 - 13:00			",-37.31,,-37.31
"13:00 - 13:15				",-79.17,,-79.17
"13:15 - 13:30				",-89.04,,-89.04
"13:30 - 13:45				",-101.16,,-101.16
"13:45 - 14:00				",-117,,-117
"14:00 - 14:15				",-3.19,,-3.19
"14:15 - 14:30				",-123.86,,-123.86
"14:30 - 14:45				",-87.16,,-87.16
"14:45 - 15:00				",-4.75,,-4.75
"15:00 - 15:15				",24.09,,24.09
"15:15 - 15:30				",-2.11,,-2.11
"15:30 - 15:45				",-7.03,,-7.03
"15:45 - 16:00				",-4.67,,-4.67
"16:00 - 16:15				",-10.07,,-10.07
"16:15 - 16:30				",-9.77,,-9.77
"16:30 - 16:45				",-11.35,,-11.35
"16:45 - 17:00				",-0.06,,-0.06
"17:00 - 17:15				",-17.89,,-17.89
"17:15 - 17:30				",-17.01,,-17.01
"17:30 - 17:45				",51.63,,51.63
"17:45 - 18:00				",96.45,,96.45
"18:00 - 18:15				",15.62,,15.62
"18:15 - 18:30			",8.27,,8.27
"18:30 - 18:45				",41.01,,41.01
"18:45 - 19:00				",132.36,,132.36
"19:00 - 19:15				",70.92,,70.92
"19:15 - 19:30		",52.7,,52.7
"19:30 - 19:45				",185.95,,185.95
"19:45 - 20:00				",192.1,,192.1
"20:00 - 20:15				",217.43,,217.43
"20:15 - 20:30				",189.6,,189.6
"20:30 - 20:45				",252.95,,252.95
"20:45 - 21:00				",215.53,,215.53
"21:00 - 21:15				",164.28,,164.28
"21:15 - 21:30				",72.98,,72.98
"21:30 - 21:45				",71.52,,71.52
"21:45 - 22:00				",78.1,,78.1
"22:00 - 22:15				",106.33,,106.33
"22:15 - 22:30				",76.99,,76.99
"22:30 - 22:45				",64.05,,64.05
"22:45 - 23:00				",75.98,,75.98
"23:00 - 23:15				",73.88,,73.88
"23:15 - 23:30				",56.15,,56.15
23:30 - 23:45,97.34,,97.34
23:45 - 24:00,123.72,,123.72
