Timeslot,Price(€/MWh)
00:00 - 00:15,135
"00:15 - 00:30			",105
00:30 - 00:45,80.3
00:45 - 01:00,73
01:00 - 01:15,74.44
01:15 - 01:30,75.71
01:30 - 01:45,76.78
01:45 - 02:00,83.55
02:00 - 02:15,78.44
02:15 - 02:30,74.53
02:30 - 02:45,80.64
"02:45 - 03:00	",84.97
"03:00 - 03:15				",87.51
"03:15 - 03:30				",80.8
"03:30 - 03:45				",85
"03:45 - 04:00				",76.61
"04:00 - 04:15				",77
"04:15 - 04:30				",80.47
"04:30 - 04:45				",56.14
"04:45 - 05:00				",121.17
"05:00 - 05:15				",81.35
"05:15 - 05:30			",65
"05:30 - 05:45				",82.2
"05:45 - 06:00				",85
"06:00 - 06:15				",46.4
"06:15 - 06:30				",88.3
"06:30 - 06:45				",99
"06:45 - 07:00			",110.55
"07:00 - 07:15				",101.07
"07:15 - 07:30				",116
"07:30 - 07:45				",106
"07:45 - 08:00				",95.14
"08:00 - 08:15				",124.7
"08:15 - 08:30				",113.8
"08:30 - 08:45				",95
"08:45 - 09:00				",59.6
"09:00 - 09:15				",90.67
"09:15 - 09:30			",108.02
"09:30 - 09:45				",88.8
"09:45 - 10:00				",88.7
"10:00 - 10:15				",199
"10:15 - 10:30				",167
"10:30 - 10:45			",156.73
"10:45 - 11:00				",100.01
"11:00 - 11:15				",131.5
"11:15 - 11:30			",59.11
"11:30 - 11:45			",100
"11:45 - 12:00				",100
"12:00 - 12:15			",85.13
"12:15 - 12:30				",80.6
"12:30 - 12:45				",85.59
"12:45 - 13:00			",86.05
"13:00 - 13:15				",99.4
"13:15 - 13:30				",104.32
"13:30 - 13:45				",58.8
"13:45 - 14:00				",73.01
"14:00 - 14:15				",29.05
"14:15 - 14:30				",67.2
"14:30 - 14:45				",104
"14:45 - 15:00				",115
"15:00 - 15:15				",-5.98
"15:15 - 15:30				",3.4
"15:30 - 15:45				",29.7
"15:45 - 16:00				",40
"16:00 - 16:15				",-15
"16:15 - 16:30				",17.31
"16:30 - 16:45				",37.61
"16:45 - 17:00				",31.45
"17:00 - 17:15				",45
"17:15 - 17:30				",15
"17:30 - 17:45				",41
"17:45 - 18:00				",140
"18:00 - 18:15				",76.41
"18:15 - 18:30			",91.14
"18:30 - 18:45				",100
"18:45 - 19:00				",105.01
"19:00 - 19:15				",99.5
"19:15 - 19:30		",135
"19:30 - 19:45				",410.75
"19:45 - 20:00				",599.93
"20:00 - 20:15				",640
"20:15 - 20:30				",951.4
"20:30 - 20:45				",1026.88
"20:45 - 21:00				",1110.71
"21:00 - 21:15				",1200
"21:15 - 21:30				",1400
"21:30 - 21:45				",500
"21:45 - 22:00				",200
"22:00 - 22:15				",125
"22:15 - 22:30				",289.5
"22:30 - 22:45				",504.2
"22:45 - 23:00				",230
"23:00 - 23:15				",166.01
"23:15 - 23:30				",103.8
23:30 - 23:45,129.5
23:45 - 24:00,110.92
